AML-01-001,AML-02-001,AML-03-001,AML-04-001,AML-05-001,AML-06-001,AML-07-001,AML-08-001,AML-09-001,AML-10-001,AML-11-001,AML-12-001,AML-13-001,AML-14-001,AML-15-001,AML-16-001,AML-17-001,AML-18-001,AML-19-001,AML-20-001,AML-21-001,AML-22-001,AML-23-001,AML-24-001,AML-25-001,AML-26-001,AML-27-001,AML-28-001,AML-29-001,AML-30-001,AML-31-001,AML-32-001,AML-33-001,AML-34-001,AML-35-001,AML-36-001,AML-37-001,AML-38-001,AML-39-001,AML-40-001,AML-41-001,AML-42-001,AML-43-001,AML-44-001,AML-45-001,AML-46-001,AML-47-001,AML-48-001,AML-49-001,AML-50-001,AML-51-001,AML-52-001,AML-53-001,AML-54-001,AML-55-001,AML-56-001,AML-57-001,AML-58-001,AML-59-001,AML-60-001,AML-61-001,AML-62-001,AML-63-001,AML-64-001,AML-65-001,AML-66-001,AML-67-001,AML-68-001,AML-69-001,AML-70-001,AML-71-001,AML-72-001,AML-73-001,AML-74-001,AML-75-001,AML-76-001,AML-77-001,AML-78-001,AML-79-001,AML-80-001,AML-81-001,AML-82-001,AML-83-001,AML-84-001,AML-85-001,AML-86-001,AML-87-001,AML-88-001,AML-89-001,AML-90-001,AML-91-001,AML-92-001,AML-93-001,AML-94-001,AML-95-001,AML-96-001,AML-97-001,AML-98-001,AML-99-001,AML-100-001,AML-101-001,AML-102-001,AML-103-001,AML-104-001,AML-105-001,AML-106-001,AML-107-001,AML-108-001,AML-109-001,AML-110-001,AML-111-001,AML-112-001,AML-113-001,AML-114-001,AML-115-001,AML-116-001,AML-117-001,AML-118-001,AML-119-001,AML-120-001,AML-121-001,AML-122-001,AML-123-001
1.0,1.0,1.0,0.25,1.0,1.0,0.25,0.333,1.0,0.333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.375,1.0,1.0,1.0,1.0,1.0,1.0,0.333,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.375,0.375,1.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.556,0.194,1.0,0.0,0.333,1.0,0.556,1.0,1.0,1.0,0.333,1.0,0.5,1.0,1.0,1.0,0.333,1.0,1.0,1.0,1.0,0.0,1.0,0.375,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,0.578,1.0,0.583,0.375,1.0,1.0,1.0,1.0,0.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.333,0.333,1.0,0.375,1.0,1.0,1.0,0.333,1.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0
0.333,0.375,0.25,0.342,0.25,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.333,0.0,0.25,1.0,0.333,1.0,1.0,0.25,0.25,1.0,1.0,0.375,1.0,0.25,0.375,0.333,1.0,0.25,0.139,0.4,1.0,1.0,0.333,0.25,0.333,0.167,0.375,0.139,0.417,1.0,1.0,1.0,1.0,0.5,0.556,1.0,0.333,0.5,0.139,0.25,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.0,0.139,0.625,1.0,1.0,0.375,1.0,0.333,1.0,1.0,1.0,0.5,0.333,0.0,0.0,0.4,1.0,1.0,1.0,0.333,0.25,0.467,1.0,1.0,1.0,1.0,1.0,0.548,1.0,0.375,0.429,1.0,1.0,1.0,1.0,0.333,0.667,0.333,0.708,0.592,1.0,0.542,1.0,1.0,1.0,1.0,1.0,0.25,0.25,1.0,1.0,0.375,0.0,1.0,0.375,0.25,1.0,0.333,0.333,1.0,0.333,0.25,1.0
0.194,1.0,0.375,0.7,1.0,1.0,0.0,0.0,0.451,0.25,1.0,0.333,0.0,0.333,0.375,0.0,0.4,0.0,0.375,0.375,0.139,1.0,0.25,0.4,1.0,0.375,0.528,0.592,0.375,0.583,0.556,1.0,0.25,1.0,1.0,1.0,0.4,0.528,1.0,0.139,0.528,1.0,0.25,0.333,1.0,0.375,0.25,0.0,0.4,0.375,0.375,0.139,1.0,1.0,1.0,0.0,0.375,0.25,1.0,0.0,0.556,0.375,0.069,0.0,1.0,1.0,0.222,0.4,1.0,0.0,1.0,0.375,1.0,0.556,0.333,1.0,0.25,0.0,0.0,0.494,1.0,0.417,0.25,0.4,0.25,1.0,0.25,0.714,1.0,0.439,1.0,1.0,0.25,1.0,1.0,1.0,0.631,0.375,0.25,0.319,0.0,0.294,1.0,0.0,1.0,0.0,0.0,0.139,0.139,0.0,0.4,0.417,0.333,1.0,0.225,0.375,0.361,0.4,0.4,1.0,0.4,0.375,1.0
0.333,1.0,0.25,0.342,0.25,0.25,1.0,1.0,0.0,1.0,1.0,0.0,0.333,0.0,0.25,1.0,0.528,1.0,1.0,0.139,0.139,0.167,0.333,1.0,1.0,0.097,0.375,0.333,1.0,0.139,0.153,1.0,1.0,0.278,0.361,0.25,0.556,0.181,0.375,0.139,0.208,0.333,1.0,1.0,0.333,0.5,0.333,0.25,0.528,0.25,0.139,0.25,0.25,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.0,0.139,0.625,0.4,1.0,0.425,0.333,0.194,0.278,0.494,0.25,0.5,1.0,0.0,0.25,0.375,0.4,1.0,1.0,0.333,0.167,0.583,0.688,1.0,1.0,1.0,1.0,0.7,0.333,0.583,0.429,1.0,1.0,1.0,1.0,0.222,0.63,0.333,0.396,0.529,0.333,0.375,0.4,1.0,0.4,1.0,1.0,0.25,0.25,0.333,1.0,0.375,0.0,0.417,0.375,0.25,1.0,0.333,0.333,1.0,0.556,0.25,1.0
0.375,1.0,0.333,0.688,1.0,1.0,1.0,1.0,0.25,1.0,1.0,0.25,0.375,0.25,0.0,0.0,0.375,1.0,1.0,0.333,0.333,1.0,1.0,1.0,1.0,0.333,0.4,0.139,1.0,0.333,0.25,1.0,1.0,1.0,1.0,1.0,0.375,0.5,1.0,0.333,1.0,1.0,1.0,1.0,1.0,0.333,0.375,1.0,0.375,0.333,0.333,0.333,1.0,1.0,0.333,1.0,0.333,1.0,0.0,1.0,0.528,0.0,0.667,1.0,1.0,1.0,1.0,0.375,1.0,1.0,1.0,0.333,1.0,0.25,0.25,1.0,1.0,1.0,1.0,0.375,1.0,0.25,1.0,1.0,1.0,1.0,1.0,0.708,1.0,0.4,1.0,0.333,1.0,0.25,0.333,1.0,0.688,1.0,0.7,0.417,1.0,0.4,1.0,1.0,1.0,1.0,1.0,0.333,0.333,1.0,1.0,0.4,0.361,1.0,0.4,0.333,1.0,0.375,0.139,1.0,0.375,0.333,1.0
1.0,0.25,1.0,0.688,1.0,1.0,0.0,0.361,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.333,0.0,1.0,0.25,1.0,1.0,1.0,0.25,1.0,0.25,0.25,0.326,0.375,0.486,1.0,0.25,0.25,1.0,1.0,1.0,0.25,0.167,1.0,0.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.25,0.0,1.0,1.0,0.294,0.0,1.0,0.333,0.139,0.0,0.222,0.0,0.0,0.361,0.25,1.0,0.0,0.25,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.333,0.25,0.25,1.0,1.0,1.0,0.5,0.333,0.4,1.0,1.0,1.0,0.7,1.0,1.0,1.0,0.333,0.25,0.25,0.333,1.0,0.25,1.0,0.436,0.486,1.0,0.375,0.375,0.0,0.333,1.0,0.333,0.0,0.0,1.0,1.0,0.333,0.556,0.25,0.361,1.0,0.389,1.0,0.25,0.333,0.25,1.0,0.25
0.4,0.25,0.375,0.333,0.0,0.0,1.0,0.333,0.333,1.0,1.0,0.333,0.4,0.528,0.375,0.333,0.0,1.0,1.0,0.458,0.569,0.0,0.25,0.25,1.0,0.458,0.294,0.194,1.0,0.458,0.528,0.25,1.0,0.0,0.0,0.0,0.333,0.556,1.0,0.569,0.4,0.25,1.0,1.0,1.0,0.375,0.4,1.0,0.194,0.375,0.458,0.375,0.0,1.0,0.417,1.0,0.375,0.25,0.375,1.0,0.528,0.375,0.688,0.569,0.25,0.375,0.25,0.25,0.0,0.375,0.0,0.375,1.0,0.528,0.361,0.556,0.375,0.25,1.0,0.4,0.0,0.294,0.389,1.0,1.0,1.0,1.0,0.622,0.25,0.294,1.0,1.0,1.0,1.0,1.0,0.25,0.361,1.0,0.389,0.542,1.0,0.225,0.583,1.0,0.569,1.0,0.333,0.375,0.375,1.0,1.0,0.294,0.389,0.55,0.294,0.375,0.333,0.4,0.4,0.333,0.25,0.375,0.25
1.0,0.4,1.0,1.0,1.0,1.0,0.139,0.0,1.0,1.0,0.375,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.333,1.0,1.0,1.0,1.0,1.0,0.583,1.0,1.0,0.375,0.681,0.375,1.0,0.375,0.139,1.0,1.0,1.0,1.0,0.25,1.0,0.0,0.333,0.6,1.0,0.25,0.333,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.375,0.294,0.0,1.0,0.25,0.333,0.139,0.333,1.0,0.0,0.0,1.0,0.333,0.0,1.0,0.25,0.0,0.333,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,0.25,0.689,1.0,1.0,1.0,1.0,1.0,1.0,0.592,0.25,0.25,1.0,1.0,0.25,1.0,1.0,0.139,0.375,1.0,1.0,1.0,0.0,0.25,1.0,1.0,0.0,0.0,1.0,0.194,1.0,1.0,1.0,0.0,1.0,0.333,1.0,1.0,0.375,1.0,1.0,0.4
0.139,0.4,0.0,0.431,0.25,0.25,0.375,1.0,0.325,0.569,1.0,1.0,0.375,1.0,1.0,1.0,1.0,0.333,0.0,1.0,0.444,1.0,0.333,0.294,0.583,1.0,0.25,0.375,0.375,1.0,0.458,0.583,0.375,1.0,0.25,1.0,1.0,0.667,1.0,0.375,0.375,0.4,0.528,0.458,1.0,1.0,0.333,1.0,0.25,1.0,0.333,0.333,0.0,0.0,0.333,1.0,1.0,1.0,0.333,0.375,1.0,0.333,0.667,1.0,0.25,1.0,1.0,0.25,0.25,1.0,0.333,1.0,1.0,0.375,1.0,0.333,1.0,1.0,1.0,1.0,0.25,1.0,1.0,0.194,1.0,1.0,0.361,0.625,1.0,1.0,0.4,0.25,1.0,1.0,0.25,0.25,0.743,0.4,0.483,0.417,1.0,0.375,1.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,0.294,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.375,1.0,1.0,0.4
0.375,0.0,0.333,0.4,0.333,0.333,1.0,0.25,0.25,1.0,1.0,0.25,0.375,0.139,0.333,0.25,0.458,1.0,1.0,0.0,0.194,0.333,0.375,0.0,1.0,0.0,0.194,0.139,1.0,0.0,0.139,0.0,1.0,0.333,0.333,0.333,0.306,0.25,1.0,0.194,0.429,0.375,1.0,1.0,1.0,0.333,0.375,1.0,0.569,0.333,0.0,0.333,0.333,1.0,0.4,1.0,0.333,0.0,0.333,1.0,0.139,0.333,0.667,0.294,0.0,0.417,0.375,0.139,0.333,0.417,0.333,0.333,1.0,0.139,0.361,0.25,0.417,0.0,1.0,0.375,0.333,0.194,0.097,1.0,1.0,1.0,1.0,0.613,0.375,0.6,1.0,1.0,1.0,1.0,1.0,0.375,0.148,1.0,0.097,0.378,1.0,0.194,0.294,1.0,0.294,1.0,0.25,0.333,0.333,1.0,1.0,0.25,0.333,0.244,0.25,0.333,0.25,0.375,0.375,0.25,0.139,0.333,0.0
0.299,1.0,0.444,0.405,0.368,0.368,1.0,1.0,0.306,0.113,1.0,0.25,0.139,0.139,0.333,1.0,0.569,1.0,0.444,0.194,0.0,0.333,0.139,0.483,0.708,0.194,0.496,0.3,1.0,0.194,0.368,0.708,1.0,0.333,0.368,0.333,0.583,0.229,1.0,0.233,0.319,0.375,0.069,0.25,1.0,0.333,0.139,1.0,0.583,0.333,0.167,0.264,0.278,0.667,1.0,1.0,0.333,1.0,1.0,0.708,0.139,0.264,0.509,0.417,0.688,0.417,0.375,0.479,0.333,0.417,0.333,0.333,1.0,0.403,0.361,0.333,0.417,1.0,1.0,0.375,0.326,0.4,0.7,0.7,1.0,1.0,0.181,0.671,0.375,0.6,1.0,1.0,1.0,1.0,0.688,0.375,0.61,0.333,0.596,0.478,1.0,0.25,0.417,1.0,0.417,1.0,1.0,0.333,0.333,1.0,0.375,0.4,0.25,0.429,0.4,0.333,1.0,0.375,0.375,1.0,0.375,0.333,1.0
1.0,1.0,1.0,0.333,0.0,0.0,1.0,1.0,0.625,1.0,1.0,1.0,1.0,0.167,1.0,1.0,0.0,1.0,1.0,0.333,0.333,0.0,0.25,1.0,1.0,0.222,1.0,1.0,1.0,0.333,0.25,1.0,1.0,0.167,0.0,0.0,0.25,0.333,1.0,0.333,0.267,0.25,1.0,1.0,0.25,1.0,1.0,0.0,0.0,1.0,0.333,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,0.375,1.0,0.375,0.25,0.375,0.167,0.458,0.0,1.0,1.0,0.167,0.0,0.333,0.375,1.0,1.0,1.0,0.0,1.0,0.667,1.0,1.0,1.0,1.0,1.0,0.25,0.333,1.0,1.0,1.0,1.0,1.0,0.167,0.625,1.0,0.667,0.375,0.25,1.0,0.375,1.0,0.375,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0
0.25,1.0,1.0,0.396,0.25,0.25,1.0,1.0,0.667,0.0,1.0,1.0,0.25,0.333,1.0,1.0,0.25,1.0,0.333,0.375,0.139,0.25,0.0,0.375,1.0,0.375,1.0,1.0,1.0,0.375,0.361,1.0,1.0,0.25,0.25,0.25,0.333,0.375,1.0,0.375,0.294,0.333,0.0,0.25,1.0,1.0,0.0,1.0,0.25,1.0,0.375,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.333,1.0,1.0,0.4,1.0,0.4,0.333,1.0,0.25,0.4,0.25,1.0,1.0,0.361,0.25,0.375,0.4,1.0,1.0,1.0,0.25,1.0,0.688,1.0,1.0,1.0,0.0,1.0,0.333,0.375,1.0,1.0,1.0,1.0,1.0,0.333,0.565,0.333,0.688,0.4,1.0,0.25,0.4,1.0,0.4,1.0,1.0,1.0,1.0,1.0,0.375,1.0,1.0,0.417,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.194,0.194,0.333,0.361,0.319,0.375,1.0,0.25,0.382,0.597,1.0,0.375,0.4,1.0,1.0,0.25,0.25,1.0,0.294,0.0,0.483,1.0,0.375,0.0,0.417,0.0,0.139,0.294,1.0,0.0,0.425,0.225,1.0,1.0,0.375,0.333,0.0,0.428,1.0,0.356,0.4,1.0,0.583,0.6,1.0,1.0,0.417,1.0,0.375,0.333,0.194,0.4,0.333,0.333,0.4,1.0,1.0,0.0,0.333,0.417,1.0,0.4,0.7,0.25,0.139,1.0,0.25,0.139,1.0,1.0,1.0,1.0,0.375,0.4,1.0,0.304,0.25,0.0,1.0,1.0,0.403,0.244,0.0,0.4,1.0,1.0,0.403,0.712,1.0,1.0,1.0,1.0,1.0,1.0,0.375,0.375,0.199,0.417,0.122,0.336,1.0,0.636,0.556,1.0,0.139,1.0,0.25,1.0,1.0,1.0,0.429,0.25,0.25,0.0,0.25,1.0,0.25,1.0,1.0,0.25,0.0,1.0,0.139
